"Timestamp","Source IP Address","Destination IP Address","Source Port","Destination Port","Protocol","Packet Length","Traffic Type","Packet Type","Payload Data","Info"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","58040","443","QUIC","568","eth:ethertype:ip:udp:quic","568","","0-RTT, DCID=530593640ca14906"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","443","63459","UDP","65","eth:ethertype:ip:udp:data","65","5c39ce83212b622e6722d077b048b1fc96e4e4f56f4e0c","443  >  63459 Len=23"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","443","63459","UDP","70","eth:ethertype:ip:udp:data","70","57eff303f7708ab5844ea2de4a36b5baa69ee69542309dc42c1ce44c","443  >  63459 Len=28"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","63459","443","UDP","74","eth:ethertype:ip:udp:data","74","54e1b4a94e5e7b9c77cad44d65875c5a8d8d3110aa9abe1fe479cabfa37b81ec","63459  >  443 Len=32"
"2024-06-24 16:30:06","Routerboardc_5e:b9:50","Spanning-tree-(for-bridges)_00","","","0x2f00","61","eth:ethertype:data","61","aaaa030000000027424203000002023c8000744d285eb950000000008000744d285eb95080010000140002000f0000","Ethernet II"
"2024-06-24 16:30:06","192.168.1.43","239.255.255.250","1900","1900","SSDP","549","eth:ethertype:ip:udp:ssdp","549","","NOTIFY * HTTP/1.1 "
"2024-06-24 16:30:06","fe80::103c:1ae1:8556:446f","ff02::c","1900","1900","SSDP","578","eth:ethertype:ipv6:udp:ssdp","578","","NOTIFY * HTTP/1.1 "
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","1292","eth:ethertype:ip:udp:quic","1292","","Initial, SCID=f30593640ca14906, PKN: 1, ACK, PADDING"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","1292","eth:ethertype:ip:udp:quic:tls","1292","","Handshake, SCID=f30593640ca14906"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","859","eth:ethertype:ip:udp:quic","859","","Protected Payload (KP0)"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","223","eth:ethertype:ip:udp:quic","223","","Protected Payload (KP0)"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","66","eth:ethertype:ip:udp:quic","66","","Protected Payload (KP0)"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","58040","443","QUIC","121","eth:ethertype:ip:udp:quic","121","","Handshake, DCID=f30593640ca14906"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","58040","443","QUIC","73","eth:ethertype:ip:udp:quic","73","","Protected Payload (KP0), DCID=f30593640ca14906"
"2024-06-24 16:30:06","192.168.1.41","172.217.28.110","54547","443","QUIC","1292","eth:ethertype:ip:udp:quic:tls:tls:tls","1292","","Initial, DCID=29df976726c2c7c9, PKN: 1, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PING"
"2024-06-24 16:30:06","192.168.1.41","172.217.28.110","54547","443","QUIC","119","eth:ethertype:ip:udp:quic","119","","0-RTT, DCID=29df976726c2c7c9"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","58040","443","QUIC","74","eth:ethertype:ip:udp:quic","74","","Protected Payload (KP0), DCID=f30593640ca14906"
"2024-06-24 16:30:06","192.168.1.43","239.255.255.250","59799","1900","SSDP","179","eth:ethertype:ip:udp:ssdp","179","","M-SEARCH * HTTP/1.1 "
