"Timestamp","Source IP Address","Destination IP Address","Source Port","Destination Port","Protocol","Packet Length","Traffic Type","Packet Type","Payload Data","Info"
"2024-06-23 21:55:04","fd13:5d43:c0d1:0:f12b:fe1a:d894:cc03","fd13:5d43:c0d1::1","63389","53","DNS","88","eth:ethertype:ipv6:udp:dns","88","","Standard query 0x8df5 A wpad.lan"
"2024-06-23 21:55:04","fd13:5d43:c0d1::1","fd13:5d43:c0d1:0:f12b:fe1a:d894:cc03","53","63389","DNS","88","eth:ethertype:ipv6:udp:dns","88","","Standard query response 0x8df5 No such name A wpad.lan"
"2024-06-23 21:55:04","fd13:5d43:c0d1:0:f12b:fe1a:d894:cc03","fd13:5d43:c0d1::1","53633","53","DNS","88","eth:ethertype:ipv6:udp:dns","88","","Standard query 0xe3ac A wpad.lan"
"2024-06-23 21:55:04","fd13:5d43:c0d1:0:f12b:fe1a:d894:cc03","fd13:5d43:c0d1::1","51833","53","DNS","88","eth:ethertype:ipv6:udp:dns","88","","Standard query 0xbd68 AAAA wpad.lan"
"2024-06-23 21:55:04","fd13:5d43:c0d1:0:f12b:fe1a:d894:cc03","fd13:5d43:c0d1::1","59550","53","DNS","88","eth:ethertype:ipv6:udp:dns","88","","Standard query 0x947c AAAA wpad.lan"
"2024-06-23 21:55:04","fd13:5d43:c0d1::1","fd13:5d43:c0d1:0:f12b:fe1a:d894:cc03","53","53633","DNS","88","eth:ethertype:ipv6:udp:dns","88","","Standard query response 0xe3ac No such name A wpad.lan"
"2024-06-23 21:55:04","fd13:5d43:c0d1::1","fd13:5d43:c0d1:0:f12b:fe1a:d894:cc03","53","51833","DNS","88","eth:ethertype:ipv6:udp:dns","88","","Standard query response 0xbd68 No such name AAAA wpad.lan"
"2024-06-23 21:55:04","fd13:5d43:c0d1::1","fd13:5d43:c0d1:0:f12b:fe1a:d894:cc03","53","59550","DNS","88","eth:ethertype:ipv6:udp:dns","88","","Standard query response 0x947c No such name AAAA wpad.lan"
"2024-06-23 21:55:04","172.16.42.196","255.255.255.255","1046","1046","UDP","67","eth:ethertype:ip:udp:data","67","72635f69616d686572653a363535353a303a303a4544444945","1046  >  1046 Len=25"
"2024-06-23 21:55:04","172.16.42.196","192.168.1.101","51716","6555","TCP","66","eth:ethertype:ip:tcp","66","","51716  >  6555 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2024-06-23 21:55:05","172.16.42.196","255.255.255.255","1046","1046","UDP","67","eth:ethertype:ip:udp:data","67","72635f69616d686572653a363535353a303a303a4544444945","1046  >  1046 Len=25"
"2024-06-23 21:55:05","172.16.42.196","192.168.1.101","51717","6555","TCP","66","eth:ethertype:ip:tcp","66","","51717  >  6555 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2024-06-23 21:55:06","172.16.42.196","255.255.255.255","1046","1046","UDP","67","eth:ethertype:ip:udp:data","67","72635f69616d686572653a363535353a303a303a4544444945","1046  >  1046 Len=25"
"2024-06-23 21:55:06","172.16.42.196","192.168.1.101","51718","6555","TCP","66","eth:ethertype:ip:tcp","66","","51718  >  6555 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2024-06-23 21:55:06","172.16.42.196","172.16.42.1","51709","1471","TCP","60","eth:ethertype:ip:tcp","60","","51709  >  1471 [FIN, ACK] Seq=1 Ack=1 Win=4095 Len=0"
"2024-06-23 21:55:06","172.16.42.1","172.16.42.196","1471","51709","TCP","54","eth:ethertype:ip:tcp","54","","1471  >  51709 [FIN, ACK] Seq=1 Ack=2 Win=2003 Len=0"
"2024-06-23 21:55:06","172.16.42.196","172.16.42.1","51708","1471","TCP","60","eth:ethertype:ip:tcp","60","","51708  >  1471 [FIN, ACK] Seq=1 Ack=1 Win=4100 Len=0"
"2024-06-23 21:55:06","172.16.42.196","172.16.42.1","51709","1471","TCP","60","eth:ethertype:ip:tcp","60","","51709  >  1471 [ACK] Seq=2 Ack=2 Win=4095 Len=0"
"2024-06-23 21:55:06","172.16.42.1","172.16.42.196","1471","51708","TCP","54","eth:ethertype:ip:tcp","54","","1471  >  51708 [FIN, ACK] Seq=1 Ack=2 Win=2003 Len=0"
"2024-06-23 21:55:06","172.16.42.196","172.16.42.1","51708","1471","TCP","60","eth:ethertype:ip:tcp","60","","51708  >  1471 [ACK] Seq=2 Ack=2 Win=4100 Len=0"
"2024-06-23 21:55:07","172.16.42.196","255.255.255.255","1046","1046","UDP","67","eth:ethertype:ip:udp:data","67","72635f69616d686572653a363535353a303a303a4544444945","1046  >  1046 Len=25"
"2024-06-23 21:55:07","172.16.42.196","192.168.1.101","51719","6555","TCP","66","eth:ethertype:ip:tcp","66","","51719  >  6555 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2024-06-23 21:55:07","192.168.1.9","172.16.42.196","51716","6555","ICMP","94","eth:ethertype:ip:icmp:ip:tcp","94","","Destination unreachable (Host unreachable)"
"2024-06-23 21:55:07","192.168.1.9","172.16.42.196","51717","6555","ICMP","94","eth:ethertype:ip:icmp:ip:tcp","94","","Destination unreachable (Host unreachable)"
"2024-06-23 21:55:07","192.168.1.9","172.16.42.196","51718","6555","ICMP","94","eth:ethertype:ip:icmp:ip:tcp","94","","Destination unreachable (Host unreachable)"
"2024-06-23 21:55:07","192.168.1.9","172.16.42.196","51719","6555","ICMP","94","eth:ethertype:ip:icmp:ip:tcp","94","","Destination unreachable (Host unreachable)"
"2024-06-23 21:55:07","172.16.42.196","172.16.42.1","51720","1471","TCP","66","eth:ethertype:ip:tcp","66","","51720  >  1471 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2024-06-23 21:55:07","172.16.42.1","172.16.42.196","1471","51720","TCP","66","eth:ethertype:ip:tcp","66","","1471  >  51720 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=32"
"2024-06-23 21:55:07","172.16.42.196","172.16.42.1","51720","1471","TCP","60","eth:ethertype:ip:tcp","60","","51720  >  1471 [ACK] Seq=1 Ack=1 Win=1049600 Len=0"
"2024-06-23 21:55:07","172.16.42.196","172.16.42.1","51720","1471","HTTP","1153","eth:ethertype:ip:tcp:http","1153","","GET /api/status HTTP/1.1 "
"2024-06-23 21:55:07","172.16.42.1","172.16.42.196","1471","51720","TCP","54","eth:ethertype:ip:tcp","54","","1471  >  51720 [ACK] Seq=1 Ack=1100 Win=64096 Len=0"
"2024-06-23 21:55:07","172.16.42.1","172.16.42.196","1471","51720","HTTP","445","eth:ethertype:ip:tcp:http:media","445","","HTTP/1.1 200 OK  (text/json)"
"2024-06-23 21:55:07","172.16.42.196","172.16.42.1","51721","1471","TCP","66","eth:ethertype:ip:tcp","66","","51721  >  1471 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2024-06-23 21:55:07","172.16.42.1","172.16.42.196","1471","51721","TCP","66","eth:ethertype:ip:tcp","66","","1471  >  51721 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=32"
"2024-06-23 21:55:07","172.16.42.196","172.16.42.1","51721","1471","TCP","60","eth:ethertype:ip:tcp","60","","51721  >  1471 [ACK] Seq=1 Ack=1 Win=1049600 Len=0"
"2024-06-23 21:55:07","172.16.42.196","172.16.42.1","51720","1471","HTTP","1160","eth:ethertype:ip:tcp:http","1160","","GET /api/notifications HTTP/1.1 "
